成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 9, 12594503, 0, 14539, 0, 17814696, 0, 14539, 0, 18156, 東平國, 速農
低調丨柯夢, 20, 14007898, 0, 13307, 0, 18676341, 0, 13657, 0, 17600, 東平國, 速農
速農丨衛斯理, 53, 26049474, 0, 10349, 0, 30733690, 0, 10349, 0, 20340, 東平國, 速農
呆丨北郎, 101, 8947744, 0, 4040, 0, 11932671, 0, 4040, 0, 17692, 東平國, 七劍
花丨花花瘋瘋, 138, 26665491, 0, 4342, 0, 30537794, 0, 4342, 0, 19286, 東平國, 賊
梟丨剎車, 118, 2414245, 0, 4690, 0, 4896323, 0, 4690, 0, 10003, 魯國, 七劍
七劍l萬, 17, 26608827, 0, 11877, 0, 33261322, 0, 12227, 0, 20380, 東平國, 七劍
呆丨西郎, 85, 21580128, 0, 6582, 0, 26093703, 0, 6932, 0, 19623, 東平國, 七劍
夜梟丨黑咪, 111, 18278309, 0, 4571, 0, 22484408, 0, 5271, 0, 17810, 東平國, 梟
賊丨狠爺, 42, 11541654, 0, 14588, 0, 13505466, 0, 14588, 0, 13980, 東平國, 賊
夜梟丨蒼龍, 63, 10988907, 0, 2932, 0, 10988907, 0, 2932, 0, 13046, 東平國, 梟
七劍l荒, 27, 7407227, 0, 8883, 0, 10672447, 0, 8883, 0, 13323, 東平國, 七劍
速農丨P, 44, 33038179, 0, 6858, 0, 38083822, 0, 6858, 0, 24410, 東平國, 速農
速農丨比利, 68, 32519724, 0, 7878, 0, 36888765, 0, 7878, 0, 23223, 東平國, 速農
內塔尼夜壺, 31, 30791914, 0, 4214, 0, 37956016, 0, 4214, 0, 24470, 東平國, 速農
速農丨曹青, 37, 30141869, 0, 7762, 0, 35169407, 0, 7762, 0, 22923, 東平國, 速農
內塔夜尼壺, 3, 28990537, 0, 10831, 0, 33515498, 0, 10831, 0, 20950, 東平國, 速農
魔項羽, 69, 27522205, 0, 5358, 0, 33812451, 0, 5358, 0, 24140, 東平國, 速農
